国际,#genre#
BBC News HD,  https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8 Al Jazeera,https://example.com/aj.m3u8



🇨🇳｜港澳台,#genre#
凤凰卫视,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8$高清1080P
凤凰卫视,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8$高清720P
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8$高清1080P
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8$高清720P
凤凰香港台,http://120.84.96.78:808/hls/81/index.m3u8$超清1080P
凤凰香港台,http://120.84.96.55:808/hls/81/index.m3u8$超清1080P
凤凰香港台,http://120.84.96.62:808/hls/81/index.m3u8$超清1080P
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?zgangd$超清1080P
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?blog.ntnas.top$超清1080P
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8$高清720P
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=6d175258de742132e85e9405-157881825529454&wsIPSercert=82db4cc65e24e5963f2c368b180dc0b3&wsMonitor=0&time=1578818276184$高清720P
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0$高清720P 
香港开电视,P2p://ns1.hellotvvod.com:9906/1bef010967f94e4db79ddfc122295306
NOW新闻台,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=12
NOW新闻台,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=12
NOW新闻台,P2p://ns1.hellotvvod.com:9906/eeb32fe00b4e4ef6a6863dbea6f15b8d
NOW财经台,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=13
NOW直播台,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=14
NOW直播台,P2p://ns1.hellotvvod.com:9906/7c06ed22c9454993a9717d749d409f48
寰宇新闻台,http://wxwxw.qwl1965.top:8890/tbs.php?tid=gt&id=38$高清1080P
寰宇新闻台,http://hd0808.top/jd2/qfjd2.php?cid=live1222&p=5003$高清720P
寰宇新闻台,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=38$高清720P
香港有线新闻,http://98.142.138.122:1630/zhiboyuandakaTV/cable539854856.m3u8
香港有线新闻,http://98.142.138.122:1630/zhiboyuandakaTV/cable559854398.m3u8
香港有线财经资讯,http://98.142.138.122:1631/zhiboyuandakaTV/icable738952.m3u8
香港有线财经资讯,http://98.142.138.122:1631/zhiboyuandakaTV/icable53832845.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8$高清1080P
时尚频道,http://juyunlive.juyun.tv/live/24950198.m3u8$高清1080P
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8
TVB影视,http://hms563nc1880172786.live.aikan.miguvideo.com/wh7f454c46tw3279865347_1298155843/PLTV/88888888/224/3221231733/1.m3u8$高清720P
TVB翡翠台,http://113.64.147.34:808/hls/67/index.m3u8$高清1080P
TVB翡翠台,http://113.64.147.56:808/hls/67/index.m3u8$高清1080P
TVB翡翠台,http://113.64.147.83:808/hls/67/index.m3u8$高清1080P
TVB翡翠台,http://113.64.147.100:808/hls/67/index.m3u8$高清1080P
TVB翡翠台,http://113.64.147.133:808/hls/67/index.m3u8$高清1080P
TVB翡翠台,http://113.64.147.200:808/hls/67/index.m3u8$高清1080P
